Torch device selected:  cuda
Selected Mode 1
<bound method ConvNet.model_1 of ConvNet(
  (out1): Linear(in_features=100, out_features=10, bias=True)
  (out2): Linear(in_features=1000, out_features=10, bias=True)
  (fcl1): Linear(in_features=784, out_features=100, bias=True)
  (fcl2): Linear(in_features=12960, out_features=100, bias=True)
  (fcl3): Linear(in_features=100, out_features=100, bias=True)
  (fcl4): Linear(in_features=12960, out_features=1000, bias=True)
  (fcl5): Linear(in_features=1000, out_features=1000, bias=True)
  (conv1): Conv2d(1, 40, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(40, 40, kernel_size=(5, 5), stride=(1, 1))
  (drop_layer): Dropout2d(p=0.5, inplace=False)
Test set: Average loss: 0.1377, Accuracy: 9665/10000 (97%)

Train set: Average loss: 0.0685, Accuracy: 58728/60000 (98%)


Test set: Average loss: 0.1258, Accuracy: 9708/10000 (97%)

Train set: Average loss: 0.0640, Accuracy: 58756/60000 (98%)


Test set: Average loss: 0.1472, Accuracy: 9625/10000 (96%)

Train set: Average loss: 0.0716, Accuracy: 58678/60000 (98%)


Test set: Average loss: 0.1366, Accuracy: 9653/10000 (97%)

Train set: Average loss: 0.0626, Accuracy: 58824/60000 (98%)


Test set: Average loss: 0.1292, Accuracy: 9674/10000 (97%)

Train set: Average loss: 0.0645, Accuracy: 58774/60000 (98%)


Test set: Average loss: 0.1444, Accuracy: 9634/10000 (96%)

Train set: Average loss: 0.0640, Accuracy: 58777/60000 (98%)


Test set: Average loss: 0.1316, Accuracy: 9667/10000 (97%)

Train set: Average loss: 0.0597, Accuracy: 58895/60000 (98%)


Test set: Average loss: 0.1319, Accuracy: 9680/10000 (97%)

Train set: Average loss: 0.0602, Accuracy: 58853/60000 (98%)


Test set: Average loss: 0.1444, Accuracy: 9633/10000 (96%)

Train set: Average loss: 0.0675, Accuracy: 58737/60000 (98%)


Test set: Average loss: 0.1370, Accuracy: 9652/10000 (97%)

Train set: Average loss: 0.0629, Accuracy: 58817/60000 (98%)


Test set: Average loss: 0.1231, Accuracy: 9684/10000 (97%)

Train set: Average loss: 0.0650, Accuracy: 58765/60000 (98%)


Test set: Average loss: 0.1321, Accuracy: 9668/10000 (97%)

Train set: Average loss: 0.0551, Accuracy: 58915/60000 (98%)


Test set: Average loss: 0.1318, Accuracy: 9667/10000 (97%)

Train set: Average loss: 0.0526, Accuracy: 59003/60000 (98%)


Test set: Average loss: 0.1388, Accuracy: 9664/10000 (97%)

Train set: Average loss: 0.0550, Accuracy: 58955/60000 (98%)


Test set: Average loss: 0.1399, Accuracy: 9655/10000 (97%)

Train set: Average loss: 0.0521, Accuracy: 59000/60000 (98%)


Test set: Average loss: 0.1389, Accuracy: 9658/10000 (97%)

Train set: Average loss: 0.0479, Accuracy: 59037/60000 (98%)


Test set: Average loss: 0.1359, Accuracy: 9659/10000 (97%)

Train set: Average loss: 0.0474, Accuracy: 59088/60000 (98%)


Test set: Average loss: 0.1291, Accuracy: 9686/10000 (97%)

Train set: Average loss: 0.0478, Accuracy: 59066/60000 (98%)


Test set: Average loss: 0.1357, Accuracy: 9692/10000 (97%)

Train set: Average loss: 0.0455, Accuracy: 59159/60000 (99%)


Test set: Average loss: 0.1419, Accuracy: 9671/10000 (97%)

Train set: Average loss: 0.0438, Accuracy: 59144/60000 (99%)


Test set: Average loss: 0.1487, Accuracy: 9648/10000 (96%)

Train set: Average loss: 0.0514, Accuracy: 58978/60000 (98%)


Test set: Average loss: 0.1426, Accuracy: 9670/10000 (97%)

Train set: Average loss: 0.0494, Accuracy: 59018/60000 (98%)


Test set: Average loss: 0.1436, Accuracy: 9666/10000 (97%)

Train set: Average loss: 0.0471, Accuracy: 59064/60000 (98%)


Test set: Average loss: 0.1412, Accuracy: 9673/10000 (97%)

Train set: Average loss: 0.0465, Accuracy: 59073/60000 (98%)


Test set: Average loss: 0.1383, Accuracy: 9670/10000 (97%)

Train set: Average loss: 0.0429, Accuracy: 59162/60000 (99%)


Test set: Average loss: 0.1390, Accuracy: 9672/10000 (97%)

Train set: Average loss: 0.0467, Accuracy: 59046/60000 (98%)


Test set: Average loss: 0.1402, Accuracy: 9664/10000 (97%)

Train set: Average loss: 0.0431, Accuracy: 59169/60000 (99%)


Test set: Average loss: 0.1360, Accuracy: 9702/10000 (97%)

Train set: Average loss: 0.0426, Accuracy: 59162/60000 (99%)


Test set: Average loss: 0.1368, Accuracy: 9697/10000 (97%)

Train set: Average loss: 0.0393, Accuracy: 59222/60000 (99%)


Test set: Average loss: 0.1288, Accuracy: 9692/10000 (97%)

accuracy is 97.08
Training and evaluation finished
[
