Torch device selected:  cuda
Selected Mode 3
<bound method ConvNet.model_3 of ConvNet(
  (out1): Linear(in_features=100, out_features=10, bias=True)
  (out2): Linear(in_features=1000, out_features=10, bias=True)
  (fcl1): Linear(in_features=784, out_features=100, bias=True)
  (fcl2): Linear(in_features=12960, out_features=100, bias=True)
  (fcl3): Linear(in_features=100, out_features=100, bias=True)
  (fcl4): Linear(in_features=12960, out_features=1000, bias=True)
  (fcl5): Linear(in_features=1000, out_features=1000, bias=True)
  (conv1): Conv2d(1, 40, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(40, 40, kernel_size=(5, 5), stride=(1, 1))
  (drop_layer): Dropout2d(p=0.5, inplace=False)
Train set: Average loss: 2.3079, Accuracy: 6303/60000 (11%)


Test set: Average loss: 2.3085, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3079, Accuracy: 6316/60000 (11%)


Test set: Average loss: 2.3218, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3082, Accuracy: 6046/60000 (10%)


Test set: Average loss: 2.3046, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3073, Accuracy: 6399/60000 (11%)


Test set: Average loss: 2.3085, Accuracy: 1010/10000 (10%)

Train set: Average loss: 2.3083, Accuracy: 6206/60000 (10%)


Test set: Average loss: 2.3067, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6249/60000 (10%)


Test set: Average loss: 2.3072, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6331/60000 (11%)


Test set: Average loss: 2.3064, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6315/60000 (11%)


Test set: Average loss: 2.3095, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3075, Accuracy: 6214/60000 (10%)


Test set: Average loss: 2.3065, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3075, Accuracy: 6410/60000 (11%)


Test set: Average loss: 2.3111, Accuracy: 982/10000 (10%)

Train set: Average loss: 2.3079, Accuracy: 6285/60000 (10%)


Test set: Average loss: 2.3085, Accuracy: 980/10000 (10%)

Train set: Average loss: 2.3081, Accuracy: 6167/60000 (10%)


Test set: Average loss: 2.3063, Accuracy: 1028/10000 (10%)

Train set: Average loss: 2.3080, Accuracy: 6323/60000 (11%)


Test set: Average loss: 2.3036, Accuracy: 1135/10000 (11%)

Train set: Average loss: 2.3080, Accuracy: 6139/60000 (10%)


Test set: Average loss: 2.3099, Accuracy: 974/10000 (10%)

Train set: Average loss: 2.3075, Accuracy: 6310/60000 (11%)


Test set: Average loss: 2.3066, Accuracy: 1135/10000 (11%)

accuracy is 11.35
Training and evaluation finished
